subject,question,percent_correct,correct_answer
tarix,1,48.77,A
tarix,2,72.40,B
tarix,3,59.11,C
tarix,4,63.50,D
tarix,5,81.20,E
tarix,6,44.30,A
tarix,7,55.60,B
tarix,8,69.90,C
tarix,9,38.25,D
tarix,10,74.10,E
tarix,11,66.80,A
tarix,12,52.45,B
tarix,13,47.90,C
tarix,14,61.35,D
tarix,15,83.00,E
tarix,16,35.75,A
tarix,17,58.20,B
tarix,18,70.65,C
tarix,19,49.55,D
tarix,20,76.30,E
tarix,21,64.85,A
tarix,22,41.10,B
tarix,23,57.75,C
tarix,24,68.40,D
tarix,25,45.00,E
tarix,26,79.95,A
tarix,27,62.60,B
tarix,28,53.15,C
tarix,29,39.80,D
tarix,30,71.25,E
tarix,31,60.05,A
tarix,32,50.50,B
tarix,33,43.70,C
tarix,34,77.85,D
tarix,35,65.25,E
tarix,36,56.95,A
tarix,37,34.60,B
tarix,38,73.55,C
tarix,39,67.10,D
tarix,40,46.35,E
tarix,41,54.80,A
tarix,42,82.45,B
tarix,43,51.90,C
tarix,44,40.15,D
tarix,45,69.25,E
biologiya,1,52.30,C
biologiya,2,61.75,A
biologiya,3,47.20,D
biologiya,4,69.15,B
biologiya,5,58.60,E
biologiya,6,43.85,C
biologiya,7,76.40,A
biologiya,8,55.05,D
biologiya,9,37.90,B
biologiya,10,80.10,E
biologiya,11,62.45,C
biologiya,12,49.70,A
biologiya,13,71.35,D
biologiya,14,64.00,B
biologiya,15,42.65,E
biologiya,16,57.25,C
biologiya,17,74.90,A
biologiya,18,46.55,D
biologiya,19,68.30,B
biologiya,20,53.80,E
biologiya,21,39.45,C
biologiya,22,82.25,A
biologiya,23,60.70,D
biologiya,24,50.15,B
biologiya,25,72.85,E
biologiya,26,45.60,C
biologiya,27,66.20,A
biologiya,28,56.75,D
biologiya,29,41.30,B
biologiya,30,78.55,E
biologiya,31,63.95,C
biologiya,32,48.40,A
biologiya,33,70.05,D
biologiya,34,54.50,B
biologiya,35,36.80,E
biologiya,36,79.35,C
biologiya,37,59.85,A
biologiya,38,44.10,D
biologiya,39,67.65,B
biologiya,40,51.25,E
biologiya,41,73.40,C
biologiya,42,40.95,A
biologiya,43,65.55,D
biologiya,44,57.90,B
biologiya,45,46.05,E
kimyo,1,41.55,B
kimyo,2,58.95,D
kimyo,3,73.20,A
kimyo,4,36.75,E
kimyo,5,64.40,C
kimyo,6,49.85,B
kimyo,7,82.05,D
kimyo,8,45.30,A
kimyo,9,60.65,E
kimyo,10,52.10,C
kimyo,11,39.25,B
kimyo,12,70.80,D
kimyo,13,56.35,A
kimyo,14,44.90,E
kimyo,15,77.45,C
kimyo,16,62.00,B
kimyo,17,34.55,D
kimyo,18,68.95,A
kimyo,19,53.40,E
kimyo,20,47.75,C
kimyo,21,75.15,B
kimyo,22,59.60,D
kimyo,23,42.05,A
kimyo,24,66.50,E
kimyo,25,50.95,C
kimyo,26,38.70,B
kimyo,27,79.25,D
kimyo,28,63.80,A
kimyo,29,55.25,E
kimyo,30,46.60,C
kimyo,31,71.05,B
kimyo,32,57.50,D
kimyo,33,40.85,A
kimyo,34,69.30,E
kimyo,35,54.75,C
kimyo,36,35.20,B
kimyo,37,80.65,D
kimyo,38,65.10,A
kimyo,39,48.55,E
kimyo,40,72.00,C
kimyo,41,61.45,B
kimyo,42,43.90,D
kimyo,43,67.35,A
kimyo,44,51.80,E
kimyo,45,37.15,C
