subject,question,percent_correct
tarix,1,48.77
tarix,2,72.40
tarix,3,59.11
tarix,4,63.50
tarix,5,81.20
tarix,6,44.30
tarix,7,55.60
tarix,8,69.90
tarix,9,38.25
tarix,10,74.10
tarix,11,66.80
tarix,12,52.45
tarix,13,47.90
tarix,14,61.35
tarix,15,83.00
tarix,16,35.75
tarix,17,58.20
tarix,18,70.65
tarix,19,49.55
tarix,20,76.30
tarix,21,64.85
tarix,22,41.10
tarix,23,57.75
tarix,24,68.40
tarix,25,45.00
tarix,26,79.95
tarix,27,62.60
tarix,28,53.15
tarix,29,39.80
tarix,30,71.25
tarix,31,60.05
tarix,32,50.50
tarix,33,43.70
tarix,34,77.85
tarix,35,65.25
tarix,36,56.95
tarix,37,34.60
tarix,38,73.55
tarix,39,67.10
tarix,40,46.35
tarix,41,54.80
tarix,42,82.45
tarix,43,51.90
tarix,44,40.15
tarix,45,69.25
biologiya,1,52.30
biologiya,2,61.75
biologiya,3,47.20
biologiya,4,69.15
biologiya,5,58.60
biologiya,6,43.85
biologiya,7,76.40
biologiya,8,55.05
biologiya,9,37.90
biologiya,10,80.10
biologiya,11,62.45
biologiya,12,49.70
biologiya,13,71.35
biologiya,14,64.00
biologiya,15,42.65
biologiya,16,57.25
biologiya,17,74.90
biologiya,18,46.55
biologiya,19,68.30
biologiya,20,53.80
biologiya,21,39.45
biologiya,22,82.25
biologiya,23,60.70
biologiya,24,50.15
biologiya,25,72.85
biologiya,26,45.60
biologiya,27,66.20
biologiya,28,56.75
biologiya,29,41.30
biologiya,30,78.55
biologiya,31,63.95
biologiya,32,48.40
biologiya,33,70.05
biologiya,34,54.50
biologiya,35,36.80
biologiya,36,79.35
biologiya,37,59.85
biologiya,38,44.10
biologiya,39,67.65
biologiya,40,51.25
biologiya,41,73.40
biologiya,42,40.95
biologiya,43,65.55
biologiya,44,57.90
biologiya,45,46.05
kimyo,1,41.55
kimyo,2,58.95
kimyo,3,73.20
kimyo,4,36.75
kimyo,5,64.40
kimyo,6,49.85
kimyo,7,82.05
kimyo,8,45.30
kimyo,9,60.65
kimyo,10,52.10
kimyo,11,39.25
kimyo,12,70.80
kimyo,13,56.35
kimyo,14,44.90
kimyo,15,77.45
kimyo,16,62.00
kimyo,17,34.55
kimyo,18,68.95
kimyo,19,53.40
kimyo,20,47.75
kimyo,21,75.15
kimyo,22,59.60
kimyo,23,42.05
kimyo,24,66.50
kimyo,25,50.95
kimyo,26,38.70
kimyo,27,79.25
kimyo,28,63.80
kimyo,29,55.25
kimyo,30,46.60
kimyo,31,71.05
kimyo,32,57.50
kimyo,33,40.85
kimyo,34,69.30
kimyo,35,54.75
kimyo,36,35.20
kimyo,37,80.65
kimyo,38,65.10
kimyo,39,48.55
kimyo,40,72.00
kimyo,41,61.45
kimyo,42,43.90
kimyo,43,67.35
kimyo,44,51.80
kimyo,45,37.15
